nome;mandato_inicio;mandato_fim;idade_morte
Deodoro da Fonseca;15/11/1889;23/11/1891;65
Floriano Peixoto;23/11/1891;15/11/1894;56
Prudente de Morais;15/11/1894;15/11/1898;61
Campos Sales;15/11/1898;1902-11-15;72
Rodrigues Alves;1902-11-15;1906-11-15;70
Afonso Pena;1906-11-15;1909-06-14;61
Nilo Peçanha;1909-06-14;1910-11-15;56
Hermes da Fonseca;1910-11-15;1914-11-15;68
Venceslau Brás;1914-11-15;1918-11-15;98
Rodrigues Alves;;;70
Delfim Moreira;1918-11-15;1919-06-28;51
Epitácio Pessoa;1919-06-28;1922-11-15;76
Artur Bernardes;1922-11-15;1926-11-15;79
Washington Luís;1926-11-15;1930-10-24;87
Júlio Prestes;;;63
Getúlio Vargas;1930-11-03;1945-11-29;72
José Linhares;1945-11-29;1946-01-31;70
Eurico Gaspar Dutra;1946-01-31;1951-01-31;91
Getúlio Vargas;1951-01-31;1954-08-24;72
Café Filho;1954-08-24;1955-11-08;71
Carlos Luz;1955-11-08;1956-11-11;66
Nereu Ramos;1955-11-11;1956-01-31;69
Juscelino Kubitschek;1956-01-31;1961-01-31;73
Jânio Quadros;1961-01-31;1961-08-25;75
Ranieri Mazzilli;1961-08-25;1961-09-07;64
João Goulart;1961-09-07;1964-04-02;57
Ranieri Mazzilli;1964-04-02;1964-04-15;64
Humberto Castelo Branco;1964-04-15;1967-03-15;69
Artur da Costa e Silva;1967-03-15;1969-08-31;70
Pedro Aleixo;;;73
Emílio Garrastazu Médici;1969-10-30;1974-03-15;79
Ernesto Geisel;1974-03-15;1979-03-15;89
João Figueiredo;1979-03-15;1985-03-15;81
Tancredo Neves;;;75
José Sarney;1985-03-15;1990-03-15;94
Fernando Collor;1990-03-15;1992-12-29;75
Itamar Franco;1992-12-29;1995-01-01;81
Fernando Henrique Cardoso;1995-01-01;2003-01-01;93
Luiz Inácio Lula da Silva;2003-01-01;2011-01-01;
Dilma Rousseff;2011-01-01;2016-08-31;
Michel Temer;2016-08-31;2019-01-01;
Jair Bolsonaro;2019-01-01;2023-01-01;
Luiz Inácio Lula da Silva;2023-01-01;2025-04-23;
